1997_31.txt:Art.3;Czy Minister Zdrowia może określić inne choroby zakaźne zwierząt podlegające zwalczaniu na obszarze całego kraju?;"Art. 3. 1. Obowiązkowi zwalczania podlegają choroby zakaźne zwierząt wyszczególnione w wykazie stanowiącym załącznik do ustawy. 2. Minister Rolnictwa i Gospodarki Żywnościowej może określić, w drodze rozporządzenia, inne choroby zakaźne zwierząt nie wymienione w załączniku, o którym mowa w ust. 1, podlegające zwalczaniu na obszarze całego kraju lub jego części."
1997_926.txt:Art.304;Czy naczelnicy urzędów skarbowych składają Ministrowi Zdrowia półroczne sprawozdania zawierające informacje o liczbie wszczętych w danym półroczu postępowań podatkowych oraz karnych skarbowych?;"Art. 304. § 1. Naczelnicy urzędów skarbowych składają Ministrowi Finansów półroczne sprawozdania zawierające informacje o liczbie wszczętych w danym półroczu postępowań podatkowych oraz karnych skarbowych, w porównaniu z liczbą spraw, w których wystąpiono o przekazanie informacji, o których mowa w art. 182. § 2. Informacje, o których mowa w § 1, są corocznie przedkładane Sejmowi łącznie ze sprawozdaniem wykonania budżetu państwa."
1996_465.txt:Art.201;Czy zarząd może być jednoosobowy?;"Art. 201. §1. Zarząd prowadzi sprawy spółki i reprezentuje spółkę. §2. Zarząd składa się z jednego albo większej liczby członków. §3. Do zarządu mogą być powołane osoby spośród wspólników lub spoza ich grona. §4. Członek zarządu jest powoływany i odwoływany uchwałą wspólników, chyba że umowa spółki stanowi inaczej."
1995_5.txt:Art.8;Czy osoby wykonujące prace związane z przygotowaniem spisu powinny przestrzegać tajemnicę statystyczną?;"Art. 8. Osoby wykonujące prace związane z przygotowaniem, przeprowadzeniem i opracowaniem wyników spisu są obowiązane do bezwzględnego przestrzegania tajemnicy statystycznej i mogą być dopuszczone do wykonywania tych prac po złożeniu pisemnego przyrzeczenia następującej treści: "Przyrzekam, że będę wykonywał swoje prace na rzecz spisu ludności i mieszkań z całą rzetelnością, a poznane w czasie ich wykonywania dane zachowam w tajemnicy wobec osób trzecich."."
2004_1532.txt:Art.18;Jakiej komisji Minister właściwy do spraw administracji publicznej przekazuje informacje i sprawozdania dotyczące tworzenia i funkcjonowania infrastruktury?;"Art. 18. 1. Tworzenie, utrzymywanie i rozwijanie infrastruktury jest koordynowane przez ministra właściwego do spraw administracji publicznej. 2. Minister właściwy do spraw administracji publicznej przekazuje Komisji Europejskiej informacje i sprawozdania dotyczące tworzenia i funkcjonowania infrastruktury."
1997_553.txt:Art.352;Jakiej karze podlega żołnierz, który znęca się psychicznie nad podwładnym?;"Art. 352. § 1. Żołnierz, który znęca się fizycznie lub psychicznie nad podwładnym, podlega karze pozbawienia wolności od 3 miesięcy do lat 5. § 2. Jeżeli czyn określony w § 1 połączony jest ze stosowaniem szczególnego okrucieństwa, sprawca podlega karze pozbawienia wolności od roku do lat 10. § 3. Jeżeli następstwem czynu określonego w § 1 lub 2 jest targnięcie się pokrzywdzonego na własne życie, sprawca podlega karze pozbawienia wolności od lat 2 do 12."
1997_739.txt:Art.66;Czy dane osobowe cudzoziemców, którym nadano status uchodźcy, udzielono azylu, oraz cudzoziemców ubiegających się o nadanie statusu uchodźcy lub o udzielenie azylu podlegają ochronie?;"Art. 66. Dane osobowe cudzoziemców, którym nadano status uchodźcy, udzielono azylu, oraz cudzoziemców ubiegających się o nadanie statusu uchodźcy lub o udzielenie azylu podlegają ochronie na zasadach określonych w odrębnych przepisach, z tym że dane te nie mogą być, bez pisemnej zgody zainteresowanego, udostępniane władzom oraz instytucjom publicznym krajów pochodzenia."
1997_553.txt:Art.222;Czy naruszenie nietykalności cielesnej funkcjonariusza publicznego może skutkować karą pozbawienia wolności na 25 lat?;"Art. 222. § 1. Kto narusza nietykalność cielesną funkcjonariusza publicznego lub osoby do pomocy mu przybranej podczas lub w związku z pełnieniem obowiązków służbowych, podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 3. § 2. Jeżeli czyn określony w § 1 wywołało niewłaściwe zachowanie się funkcjonariusza lub osoby do pomocy mu przybranej, sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia."
2001_1071.txt:Art.10;Czy kuratorowi zawodowemu przysługuje prawo do podnoszenia kwalifikacji zawodowych w formie kształcenia zdalnego?;"Art. 10. Kuratorowi zawodowemu przysługuje prawo do podnoszenia kwalifikacji zawodowych w różnych formach kształcenia."
2001_1545.txt:Art.232;Czy za uratowanie frachtu oraz opłat za przewóz pasażerów i bagażu należy się wynagrodzenie?;"Art. 232. § 1. Za ratownictwo morskie należy się wynagrodzenie. § 2. Wynagrodzenie należy się również za uratowanie frachtu oraz opłat za przewóz pasażerów i bagażu. § 3. Wynagrodzenie należy się również za ratownictwo morskie udzielone na wodach śródlądowych przez statek morski statkowi żeglugi śródlądowej lub wodnosamolotowi. § 4. Wynagrodzenie należy się, choćby ratownictwo morskie nastąpiło pomiędzy statkami tego samego armatora."
